Agroecology Seminar,ALS,130,990,3,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Agroecology Seminar,ALS,130,990,5,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Agroecology Seminar,ALS,130,990,6,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Agroecology Seminar,ALS,130,990,9,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Agroecology Seminar,ALS,130,990,10,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Agroecology Seminar,ALS,130,990,11,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Introduction to Global Health,ALS,132,203,1,8,3.875,"[75.0, 25.0, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Introduction to Global Health,ALS,132,299,10,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Introduction to Global Health,ALS,132,299,17,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Cropping Systems,ALS,132,300,1,12,3.682,"[66.7, 8.3, None, 16.7, None, None, None, None, None, None, None, None, None, 8.3, None]"
Plant Nutrition Management,ALS,132,326,1,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Plant Breeding&Biotechnolgy,ALS,132,338,1,18,3.722,"[77.8, None, 16.7, None, 5.6, None, None, None, None, None, None, None, None, None, None]"
Plant Cell Cult. & Genet. Eng.,ALS,132,340,1,10,3.2,"[None, 50.0, 40.0, 10.0, None, None, None, None, None, None, None, None, None, None, None]"
World Hunger & Malnutrition,ALS,132,350,1,42,3.381,"[35.7, 26.2, 16.7, 21.4, None, None, None, None, None, None, None, None, None, None, None]"
Diag Nutrient/Pest of Crops,ALS,132,354,1,4,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
"GM Crops:Sci,Reg,Controversy",ALS,132,360,1,12,3.208,"[25.0, 41.7, 16.7, None, 8.3, 8.3, None, None, None, None, None, None, None, None, None]"
Special Topics,ALS,132,375,2,3,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Cropping Systems-Tropics,ALS,132,377,1,14,3.846,"[71.4, 14.3, 7.1, None, None, None, None, 7.1, None, None, None, None, None, None, None]"
Senior Capstone Experience,ALS,132,500,1,14,3.929,"[92.9, None, 7.1, None, None, None, None, None, None, None, None, None, None, None, None]"
Principles-Plant Breeding,ALS,132,501,1,5,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Techniques-Plant Breeding,ALS,132,502,1,8,3.813,"[62.5, 37.5, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Genetic Mapping,ALS,132,615,1,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Special Problems,ALS,132,699,7,3,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Experimental Designs,ALS,132,771,1,17,,"[None, None, None, None, None, None, None, None, 0.1, 0.0, None, None, None, None, None]"
Applications in ANOVA,ALS,132,772,1,14,,"[None, None, None, None, None, None, None, None, 0.1, 0.0, None, None, None, None, None]"
Practicum-Agronomy Teaching,ALS,132,799,5,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Seminar,ALS,132,920,1,4,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Seminar-Plant Breeding,ALS,132,957,1,6,4,"[100.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Seminar-Plant Breeding,ALS,132,990,2,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Seminar-Plant Breeding,ALS,132,990,5,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Seminar-Plant Breeding,ALS,132,990,7,4,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Seminar-Plant Breeding,ALS,132,990,10,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Seminar-Plant Breeding,ALS,132,990,12,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Seminar-Plant Breeding,ALS,132,990,13,3,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Seminar-Plant Breeding,ALS,132,990,14,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Seminar-Plant Breeding,ALS,132,990,18,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Seminar-Plant Breeding,ALS,132,990,19,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Seminar-Plant Breeding,ALS,132,990,20,5,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Seminar-Plant Breeding,ALS,132,990,22,4,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Seminar-Plant Breeding,ALS,132,990,23,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Seminar-Plant Breeding,ALS,132,990,24,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
General Microbiology,ALS,192,101,1,247,3.061,"[27.5, 12.6, 35.2, 6.1, 13.4, 4.5, 0.8, None, None, None, None, None, None, None, None]"
General Microbiology,ALS,192,102,1,34,3.235,"[32.4, 17.6, 32.4, 5.9, 8.8, 2.9, None, None, None, None, None, None, None, None, None]"
General Microbiology,ALS,192,102,2,37,3.081,"[21.6, 16.2, 37.8, 10.8, 10.8, 2.7, None, None, None, None, None, None, None, None, None]"
General Microbiology,ALS,192,102,3,37,3.324,"[27.0, 27.0, 37.8, None, 8.1, None, None, None, None, None, None, None, None, None, None]"
General Microbiology,ALS,192,102,4,22,3.182,"[31.8, 9.1, 36.4, 9.1, 13.6, None, None, None, None, None, None, None, None, None, None]"
General Microbiology Lab,ALS,192,299,2,3,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
General Microbiology Lab,ALS,192,299,5,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
General Microbiology Lab,ALS,192,299,13,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
General Microbiology Lab,ALS,192,299,15,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
