,#1,#2,#3,#4,#5,#6,#7,#8
5802,Civs of India-Modern Period,L&S,521,252,001,24,3.333,"[50.0, 20.8, 8.3, 4.2, 12.5, None, 4.2, None, None, None, None, None, None, None, None]"
5803,Cen Asia: Silk Route-Afghan,L&S,521,265,001,9,3.438,"[33.3, 33.3, 11.1, None, 11.1, None, None, None, None, None, None, None, 11.1, None, None]"
5804,Intro to the Middle East,L&S,521,266,001,53,3.663,"[52.8, 30.2, 11.3, 1.9, 1.9, None, None, None, None, None, None, None, None, 1.9, None]"
5805,Introduction to Buddhism,L&S,521,308,001,7,3.0,"[14.3, 28.6, 28.6, None, 28.6, None, None, None, None, None, None, None, None, None, None]"
5806,Visual Cultures of South Asia,L&S,521,428,001,6,3.083,"[None, 33.3, 50.0, 16.7, None, None, None, None, None, None, None, None, None, None, None]"
5807,Hist Southeast Asia to 1800,L&S,521,457,001,3,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5808,Hist SE Asia Since 1800,L&S,521,458,001,7,4.0,"[100.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5809,Buddhist Thought,L&S,521,466,001,4,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5810,Capstone Smr-Asian Humanities,L&S,521,600,001,6,3.167,"[33.3, None, 50.0, None, 16.7, None, None, None, None, None, None, None, None, None, None]"
5811,Yoga: Methods and Goals,L&S,521,623,001,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5812,Proseminar-Central Asian Hist,L&S,521,640,001,5,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5813,Proseminar-Central Asian Hist,L&S,521,699,061,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5814,Proseminar-Central Asian Hist,L&S,521,699,063,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5815,Directed Study,L&S,521,799,046,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5816,Directed Study,L&S,521,799,061,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
