,#1,#2,#3,#4,#5,#6,#7,#8
143,Ecotox: The Chemical Players,ALS,132,632,002,9,3.313,"[22.2, 11.1, 55.6, None, None, None, None, None, None, None, None, None, 11.1, None, None]"
144,Ecotox: Impacts on Individuals,ALS,132,633,002,6,3.583,"[16.7, 83.3, None, None, None, None, None, None, None, None, None, None, None, None, None]"
145,"Ecotox: Populatn, Comm, Ecosys",ALS,132,634,002,7,3.786,"[71.4, 14.3, 14.3, None, None, None, None, None, None, None, None, None, None, None, None]"
146,"Ecotox: Populatn, Comm, Ecosys",ALS,132,699,001,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
147,"Ecotox: Populatn, Comm, Ecosys",ALS,132,699,011,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
148,Agroecosystems & Global Chng,ALS,132,724,001,5,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
149,Agroecosystems & Global Chng,ALS,132,799,002,3,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
150,Agroecosystems & Global Chng,ALS,132,799,004,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
151,Biometric Proc-Plnt Breedng,ALS,132,811,001,16,3.769,"[56.3, 12.5, 12.5, None, None, None, None, 6.3, None, None, None, None, 12.5, None, None]"
152,Seminar-Plant Breeding,ALS,132,957,001,6,4.0,"[100.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
153,Seminar-Plant Breeding,ALS,132,990,003,5,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
154,Seminar-Plant Breeding,ALS,132,990,004,3,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
155,Seminar-Plant Breeding,ALS,132,990,005,4,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
156,Seminar-Plant Breeding,ALS,132,990,007,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
157,Seminar-Plant Breeding,ALS,132,990,009,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
158,Seminar-Plant Breeding,ALS,132,990,010,5,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
159,Seminar-Plant Breeding,ALS,132,990,011,3,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
160,Seminar-Plant Breeding,ALS,132,990,012,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
